Mnemonic,Description,,"Std Chg","CPT or HCPC ","Rev Code","Inpt or Outpt","Aetna Commercial","AllWays Commercial","AllWays MassHealth","Beacon Commercial","Beacon Medicaid","Beacon Medicare","BCBSMA HMO Commercial","BCBSMA IND Commercial","BCBSMA PPO Commercial",BMCHNP,"CDPHP Commercial","CIGNA Commercial","Connecticare Commercial","FALLON Commercial","Fallon MCRHMO","Fallon Navicare","First Health Coventry",HPHC,HNE,"HNE MCRHMO",Multiplan,MVP,"Self Pay","Tufts Public Plan Masshealth & QHP Subsidized","Tufts Public Plan QHP Non Subsidized",Tufts,Unicare,United,"United Optum BH Commercial","United Optum BH Medicaid",Min,Max
10121E0000,"I&R FB subq; Complictd",Facility,2643.79,10121,0450,OP,2350.32931,2313.051871,978.2022999999999,N/A,N/A,N/A,1557.7210679999998,1673.51907,1640.2073159999998,1698.0053314595618,2379.411,2379.411,2511.6005,2458.7247,1689.2372968927095,1930.556910734525,2458.7247,2511.6005,2003.464062,1850.1170394539197,2379.411,2379.411,2511.6005,1615.3556899999999,1848.00921,2247.2215,1559.8361,2379.411,N/A,N/A,978.2022999999999,2511.6005
10121E0000,"I&R FB subq; Complictd",Facility,2749.54,10121,0450,IP,2444.34106,2405.572546,1319.7792,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,2474.5860000000002,2474.5860000000002,2612.0629999999996,2557.0722,Grouper,Grouper,2612.0629999999996,2612.0629999999996,Grouper,Grouper,2474.5860000000002,2474.5860000000002,2612.0629999999996,1679.96894,1921.9284599999999,2337.109,Grouper,2474.5860000000002,N/A,N/A,1319.7792,2612.0629999999996
10180E0000,"I&D Complex Postop Wound Inf",Facility,2088.19,10180,0450,OP,1856.40091,1826.957431,772.6303,N/A,N/A,N/A,1230.3615479999999,1321.82427,1295.513076,N/A,1879.371,1879.371,1983.7804999999998,1942.0167000000001,2853.8188132682594,3261.5072151637246,1942.0167000000001,1983.7804999999998,1582.430382,3125.611081198569,1879.371,1879.371,1983.7804999999998,1275.88409,1459.64481,1774.9615,1232.0321,1879.371,N/A,N/A,772.6303,3261.5072151637246
10180E0000,"I&D Complex Postop Wound Inf",Facility,2171.72,10180,0450,IP,1930.65908,1900.0378279999998,1042.4255999999998,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1954.5479999999998,1954.5479999999998,2063.1339999999996,2019.6996,Grouper,Grouper,2063.1339999999996,2063.1339999999996,Grouper,Grouper,1954.5479999999998,1954.5479999999998,2063.1339999999996,1326.9209199999998,1518.0322799999997,1845.9619999999998,Grouper,1954.5479999999998,N/A,N/A,1042.4255999999998,2063.1339999999996
11000E0000,"Dbrd Skin </10% Bdy Srf",Facility,404.26,11000,0450,OP,359.38714,353.687074,149.5762,N/A,N/A,N/A,238.18999199999996,255.89658,250.80290399999998,N/A,363.834,363.834,384.04699999999997,375.96180000000004,611.6774875081416,699.0599857235903,375.96180000000004,384.04699999999997,306.348228,669.9324863184407,363.834,363.834,384.04699999999997,247.00286,282.57773999999995,343.621,238.5134,363.834,N/A,N/A,149.5762,699.0599857235903
11000E0000,"Dbrd Skin </10% Bdy Srf",Facility,420.43,11000,0450,IP,373.76227,367.834207,201.8064,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,378.387,378.387,399.4085,390.9999,Grouper,Grouper,399.4085,399.4085,Grouper,Grouper,378.387,378.387,399.4085,256.88273,293.88057,357.3655,Grouper,378.387,N/A,N/A,201.8064,399.4085
11005E0000,"Dbrd Skn Subq ABD Wall",Facility,3345.01,11005,0450,OP,2973.7138900000004,2926.549249,1237.6537,N/A,N/A,N/A,1970.879892,2117.3913300000004,2075.244204,N/A,3010.5090000000005,3010.5090000000005,3177.7595,3110.8593000000005,N/A,N/A,3110.8593000000005,3177.7595,2534.848578,N/A,3010.5090000000005,3010.5090000000005,3177.7595,2043.80111,2338.16199,2843.2585,1973.5559,3010.5090000000005,N/A,N/A,1237.6537,3177.7595
11005E0000,"Dbrd Skn Subq ABD Wall",Facility,3478.81,11005,0450,IP,3092.66209,3043.610869,1669.8288,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,3130.929,3130.929,3304.8695,3235.2933000000003,Grouper,Grouper,3304.8695,3304.8695,Grouper,Grouper,3130.929,3130.929,3304.8695,2125.55291,2431.68819,2956.9885,Grouper,3130.929,N/A,N/A,1669.8288,3304.8695
11010E0000,"Dbrd Skin; Subq Tis FX Site",Facility,686.8,11010,0450,OP,610.5652,600.88132,254.11599999999999,N/A,N/A,N/A,404.6625599999999,434.7444,426.0907199999999,N/A,618.12,618.12,652.4599999999999,638.724,750.7312549063237,857.9785770357984,638.724,652.4599999999999,520.45704,822.2294696593067,618.12,618.12,652.4599999999999,419.6348,480.07319999999993,583.78,405.21199999999993,618.12,N/A,N/A,254.11599999999999,857.9785770357984
11010E0000,"Dbrd Skin; Subq Tis FX Site",Facility,714.28,11010,0450,IP,634.99492,624.923572,342.8544,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,642.852,642.852,678.5659999999999,664.2804,Grouper,Grouper,678.5659999999999,678.5659999999999,Grouper,Grouper,642.852,642.852,678.5659999999999,436.42508,499.28171999999995,607.1379999999999,Grouper,642.852,N/A,N/A,342.8544,678.5659999999999
11012E0000,"Dbrd Skin; Bone Fx Site",Facility,529.65,11012,0450,OP,470.85884999999996,463.390785,195.9705,N/A,N/A,N/A,312.06978,335.26845,328.59486,N/A,476.685,476.685,503.16749999999996,492.5745,2853.8188132682594,3261.5072151637246,492.5745,503.16749999999996,401.36877,3125.611081198569,476.685,476.685,503.16749999999996,323.61615,370.22534999999993,450.2025,312.4935,476.685,N/A,N/A,195.9705,3261.5072151637246
11012E0000,"Dbrd Skin; Bone Fx Site",Facility,550.83,11012,0450,IP,489.68787000000003,481.921167,264.39840000000004,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,495.74700000000007,495.74700000000007,523.2885,512.2719000000001,Grouper,Grouper,523.2885,523.2885,Grouper,Grouper,495.74700000000007,495.74700000000007,523.2885,336.55713000000003,385.03017,468.20550000000003,Grouper,495.74700000000007,N/A,N/A,264.39840000000004,523.2885
11302E0000,"Shv Les Trk/Ext 1.1-2cm",Facility,121.17,11302,0450,OP,107.72013,106.011633,44.8329,N/A,N/A,N/A,71.39336399999999,76.70061,75.173868,263.28720438782165,109.053,109.053,115.11149999999999,112.6881,215.03867197143245,245.7584822530656,112.6881,115.11149999999999,91.822626,235.5185454925212,109.053,109.053,115.11149999999999,74.03487,84.69783,102.9945,71.49029999999999,109.053,N/A,N/A,44.8329,263.28720438782165
11302E0000,"Shv Les Trk/Ext 1.1-2cm",Facility,126.03,11302,0450,IP,112.04067,110.263647,60.4944,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,113.427,113.427,119.7285,117.20790000000001,Grouper,Grouper,119.7285,119.7285,Grouper,Grouper,113.427,113.427,119.7285,77.00433,88.09496999999999,107.1255,Grouper,113.427,N/A,N/A,60.4944,119.7285
11305E0000,"Shv Les; S N H F G </0.5cm",Facility,180.89,11305,0450,OP,160.81121,158.260661,66.9293,N/A,N/A,N/A,106.58038799999999,114.50336999999999,112.22415599999998,263.28720438782165,162.801,162.801,171.8455,168.2277,215.03867197143245,245.7584822530656,168.2277,171.8455,137.078442,235.5185454925212,162.801,162.801,171.8455,110.52378999999999,126.44210999999999,153.7565,106.72509999999998,162.801,N/A,N/A,66.9293,263.28720438782165
11305E0000,"Shv Les; S N H F G </0.5cm",Facility,188.14,11305,0450,IP,167.25646,164.60368599999998,90.3072,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,169.326,169.326,178.73299999999998,174.9702,Grouper,Grouper,178.73299999999998,178.73299999999998,Grouper,Grouper,169.326,169.326,178.73299999999998,114.95353999999999,131.50985999999997,159.91899999999998,Grouper,169.326,N/A,N/A,90.3072,178.73299999999998
11400E0000,"Exc Tr-Ext B9+Marg </0.5cm",Facility,688.57,11400,0450,OP,612.13873,602.4298930000001,254.7709,N/A,N/A,N/A,405.705444,435.86481000000003,427.188828,829.7896465362793,619.7130000000001,619.7130000000001,654.1415000000001,640.3701000000001,750.7312549063237,857.9785770357984,640.3701000000001,654.1415000000001,521.798346,822.2294696593067,619.7130000000001,619.7130000000001,654.1415000000001,420.71627,481.31043,585.2845,406.2563,619.7130000000001,N/A,N/A,254.7709,857.9785770357984
11400E0000,"Exc Tr-Ext B9+Marg </0.5cm",Facility,716.1,11400,0450,IP,636.6129000000001,626.51589,343.728,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,644.49,644.49,680.295,665.9730000000001,Grouper,Grouper,680.295,680.295,Grouper,Grouper,644.49,644.49,680.295,437.5371,500.5539,608.6850000000001,Grouper,644.49,N/A,N/A,343.728,680.295
11402E0000,"Exc Tr-Ext B9+Marg 1.1-2cm",Facility,1709.07,11402,0450,OP,1519.36323,1495.265343,632.3559,N/A,N/A,N/A,1006.9840439999999,1081.84131,1060.307028,829.7896465362793,1538.163,1538.163,1623.6164999999999,1589.4351,750.7312549063237,857.9785770357984,1589.4351,1623.6164999999999,1295.133246,822.2294696593067,1538.163,1538.163,1623.6164999999999,1044.2417699999999,1194.6399299999998,1452.7095,1008.3512999999999,1538.163,N/A,N/A,632.3559,1623.6164999999999
11402E0000,"Exc Tr-Ext B9+Marg 1.1-2cm",Facility,1767.18,11402,0450,IP,1571.02302,1546.105782,848.2464,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1590.462,1590.462,1678.821,1643.4774000000002,Grouper,Grouper,1678.821,1678.821,Grouper,Grouper,1590.462,1590.462,1678.821,1079.7469800000001,1235.25882,1502.103,Grouper,1590.462,N/A,N/A,848.2464,1678.821
11403E0000,"Exc Tr-Ext B9+Marg 2.1-3cm",Facility,2931.35,11403,0450,OP,2605.97015,2564.6381149999997,1084.5995,N/A,N/A,N/A,1727.1514199999997,1855.54455,1818.6095399999997,829.7896465362793,2638.215,2638.215,2784.7825,2726.1555,750.7312549063237,857.9785770357984,2726.1555,2784.7825,2221.37703,822.2294696593067,2638.215,2638.215,2784.7825,1791.05485,2049.01365,2491.6475,1729.4964999999997,2638.215,N/A,N/A,750.7312549063237,2784.7825
11403E0000,"Exc Tr-Ext B9+Marg 2.1-3cm",Facility,3048.61,11403,0450,IP,2710.2142900000003,2667.228889,1463.3328,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,2743.7490000000003,2743.7490000000003,2896.1795,2835.2073000000005,Grouper,Grouper,2896.1795,2896.1795,Grouper,Grouper,2743.7490000000003,2743.7490000000003,2896.1795,1862.70071,2130.9783899999998,2591.3185,Grouper,2743.7490000000003,N/A,N/A,1463.3328,2896.1795
11420E0000,"Exc B9+ Sktg S/N/H/F/G </0.5cm",Facility,1503.82,11420,0450,OP,1336.89598,1315.692118,556.4134,N/A,N/A,N/A,886.0507439999999,951.91806,932.9699279999999,1698.0053314595618,1353.4379999999999,1353.4379999999999,1428.629,1398.5526,1689.2372968927095,1930.556910734525,1398.5526,1428.629,1139.594796,1850.1170394539197,1353.4379999999999,1353.4379999999999,1428.629,918.8340199999999,1051.1701799999998,1278.2469999999998,887.2538,1353.4379999999999,N/A,N/A,556.4134,1930.556910734525
11420E0000,"Exc B9+ Sktg S/N/H/F/G </0.5cm",Facility,1563.98,11420,0450,IP,1390.37822,1368.326102,750.7103999999999,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1407.582,1407.582,1485.781,1454.5014,Grouper,Grouper,1485.781,1485.781,Grouper,Grouper,1407.582,1407.582,1485.781,955.59178,1093.22202,1329.383,Grouper,1407.582,N/A,N/A,750.7103999999999,1485.781
11421E0000,"Exc B9+Mgn H/F/Nk 0.6-1cm",Facility,3276.13,11421,0450,OP,2912.47957,2866.286137,1212.1681,N/A,N/A,N/A,1930.2957959999999,2073.79029,2032.5110519999998,829.7896465362793,2948.5170000000003,2948.5170000000003,3112.3235,3046.8009,750.7312549063237,857.9785770357984,3046.8009,3112.3235,2482.651314,822.2294696593067,2948.5170000000003,2948.5170000000003,3112.3235,2001.71543,2290.01487,2784.7105,1932.9167,2948.5170000000003,N/A,N/A,750.7312549063237,3112.3235
11421E0000,"Exc B9+Mgn H/F/Nk 0.6-1cm",Facility,3407.17,11421,0450,IP,3028.97413,2980.9330330000003,1635.4415999999999,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,3066.453,3066.453,3236.8115,3168.6681000000003,Grouper,Grouper,3236.8115,3236.8115,Grouper,Grouper,3066.453,3066.453,3236.8115,2081.78087,2381.61183,2896.0945,Grouper,3066.453,N/A,N/A,1635.4415999999999,3236.8115
11423E0000,"Exc B9 Les S/N/H/F/G 2.1-3cm",Facility,3142.16,11423,0761,OP,2793.38024,2749.075784,1162.5991999999999,N/A,N/A,N/A,1851.3606719999998,1988.9872799999998,1949.3960639999998,1698.0053314595618,2827.944,2827.944,2985.0519999999997,2922.2088,1689.2372968927095,1930.556910734525,2922.2088,2985.0519999999997,2381.128848,1850.1170394539197,2827.944,2827.944,2985.0519999999997,1919.8597599999998,2196.36984,2670.836,1853.8744,2827.944,N/A,N/A,1162.5991999999999,2985.0519999999997
11423E0000,"Exc B9 Les S/N/H/F/G 2.1-3cm",Facility,3267.84,11423,0761,IP,2905.1097600000003,2859.0332160000003,1568.5632,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,2941.056,2941.056,3104.448,3039.0912000000003,Grouper,Grouper,3104.448,3104.448,Grouper,Grouper,2941.056,2941.056,3104.448,1996.65024,2284.22016,2777.664,Grouper,2941.056,N/A,N/A,1568.5632,3104.448
11440E0000,"Exc B9+ F/E/E/N/L/M </0.5cm",Facility,1147.94,11440,0450,OP,1020.5186600000001,1004.332706,424.7378,N/A,N/A,N/A,676.3662479999999,726.64602,712.181976,829.7896465362793,1033.1460000000002,1033.1460000000002,1090.543,1067.5842,750.7312549063237,857.9785770357984,1067.5842,1090.543,869.908932,822.2294696593067,1033.1460000000002,1033.1460000000002,1090.543,701.39134,802.4100599999999,975.749,677.2846,1033.1460000000002,N/A,N/A,424.7378,1090.543
11440E0000,"Exc B9+ F/E/E/N/L/M </0.5cm",Facility,1193.87,11440,0450,IP,1061.35043,1044.5168629999998,573.0576,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1074.483,1074.483,1134.1764999999998,1110.2991,Grouper,Grouper,1134.1764999999998,1134.1764999999998,Grouper,Grouper,1074.483,1074.483,1134.1764999999998,729.4545699999999,834.5151299999999,1014.7894999999999,Grouper,1074.483,N/A,N/A,573.0576,1134.1764999999998
11441E0000,"Exc B9+F/EEN/L/M </0.6-1.0cm",Facility,1147.94,11441,0450,OP,1020.5186600000001,1004.332706,424.7378,N/A,N/A,N/A,676.3662479999999,726.64602,712.181976,829.7896465362793,1033.1460000000002,1033.1460000000002,1090.543,1067.5842,750.7312549063237,857.9785770357984,1067.5842,1090.543,869.908932,822.2294696593067,1033.1460000000002,1033.1460000000002,1090.543,701.39134,802.4100599999999,975.749,677.2846,1033.1460000000002,N/A,N/A,424.7378,1090.543
11441E0000,"Exc B9+F/EEN/L/M </0.6-1.0cm",Facility,1193.87,11441,0450,IP,1061.35043,1044.5168629999998,573.0576,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,1074.483,1074.483,1134.1764999999998,1110.2991,Grouper,Grouper,1134.1764999999998,1134.1764999999998,Grouper,Grouper,1074.483,1074.483,1134.1764999999998,729.4545699999999,834.5151299999999,1014.7894999999999,Grouper,1074.483,N/A,N/A,573.0576,1134.1764999999998
11442E0000,"Exc B9+F EEN L M 1.1-2.0cm",Facility,2931.35,11442,0450,OP,2605.97015,2564.6381149999997,1084.5995,N/A,N/A,N/A,1727.1514199999997,1855.54455,1818.6095399999997,829.7896465362793,2638.215,2638.215,2784.7825,2726.1555,750.7312549063237,857.9785770357984,2726.1555,2784.7825,2221.37703,822.2294696593067,2638.215,2638.215,2784.7825,1791.05485,2049.01365,2491.6475,1729.4964999999997,2638.215,N/A,N/A,750.7312549063237,2784.7825
11442E0000,"Exc B9+F EEN L M 1.1-2.0cm",Facility,3048.61,11442,0450,IP,2710.2142900000003,2667.228889,1463.3328,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,2743.7490000000003,2743.7490000000003,2896.1795,2835.2073000000005,Grouper,Grouper,2896.1795,2896.1795,Grouper,Grouper,2743.7490000000003,2743.7490000000003,2896.1795,1862.70071,2130.9783899999998,2591.3185,Grouper,2743.7490000000003,N/A,N/A,1463.3328,2896.1795
11730E0000,"Avul Nail Part'l/Cmp Smp 1",Facility,175.58,11730,0450,OP,156.09062,153.614942,64.9646,N/A,N/A,N/A,103.451736,111.14214000000001,108.929832,73.22225555829601,158.02200000000002,158.02200000000002,166.80100000000002,163.28940000000003,215.03867197143245,245.7584822530656,163.28940000000003,166.80100000000002,133.05452400000001,235.5185454925212,158.02200000000002,158.02200000000002,166.80100000000002,107.27938,122.73042,149.243,103.5922,158.02200000000002,N/A,N/A,64.9646,245.7584822530656
11730E0000,"Avul Nail Part'l/Cmp Smp 1",Facility,182.61,11730,0450,IP,162.34029,159.765489,87.6528,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,164.34900000000002,164.34900000000002,173.4795,169.8273,Grouper,Grouper,173.4795,173.4795,Grouper,Grouper,164.34900000000002,164.34900000000002,173.4795,111.57471000000001,127.64439,155.2185,Grouper,164.34900000000002,N/A,N/A,87.6528,173.4795
11732E0000,"Avul Nail Plate ea Add'l",Facility,134.32,11732,0450,OP,119.41047999999999,117.51656799999999,49.6984,N/A,N/A,N/A,79.14134399999999,85.02456,83.33212799999998,73.22225555829601,120.88799999999999,120.88799999999999,127.60399999999998,124.91760000000001,N/A,N/A,124.91760000000001,127.60399999999998,101.787696,N/A,120.88799999999999,120.88799999999999,127.60399999999998,82.06952,93.88967999999998,114.172,79.24879999999999,120.88799999999999,N/A,N/A,49.6984,127.60399999999998
11732E0000,"Avul Nail Plate ea Add'l",Facility,139.7,11732,0450,IP,124.1933,122.22353,67.056,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,125.72999999999999,125.72999999999999,132.71499999999997,129.921,Grouper,Grouper,132.71499999999997,132.71499999999997,Grouper,Grouper,125.72999999999999,125.72999999999999,132.71499999999997,85.35669999999999,97.65029999999999,118.74499999999999,Grouper,125.72999999999999,N/A,N/A,67.056,132.71499999999997
11740E0000,"Evac Subungual Hematoma",Facility,168.29,11740,0450,OP,149.60980999999998,147.236921,62.2673,N/A,N/A,N/A,99.15646799999999,106.52757,104.40711599999999,73.22225555829601,151.46099999999998,151.46099999999998,159.8755,156.5097,134.181665429994,153.350474777136,156.5097,159.8755,127.530162,146.960871661422,151.46099999999998,151.46099999999998,159.8755,102.82518999999999,117.63470999999998,143.04649999999998,99.29109999999999,151.46099999999998,N/A,N/A,62.2673,159.8755
11740E0000,"Evac Subungual Hematoma",Facility,175.03,11740,0450,IP,155.60167,153.133747,84.0144,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,157.52700000000002,157.52700000000002,166.27849999999998,162.77790000000002,Grouper,Grouper,166.27849999999998,166.27849999999998,Grouper,Grouper,157.52700000000002,157.52700000000002,166.27849999999998,106.94333,122.34597,148.7755,Grouper,157.52700000000002,N/A,N/A,84.0144,166.27849999999998
11750E0000,"Exc Nail Matrix Perm Rmvl",Facility,699.07,11750,0450,OP,621.4732300000001,611.616343,258.65590000000003,N/A,N/A,N/A,411.892044,442.51131000000004,433.703028,829.7896465362793,629.163,629.163,664.1165,650.1351000000001,393.2184010937364,449.3924583928416,650.1351000000001,664.1165,529.755246,430.6677726264732,629.163,629.163,664.1165,427.13177,488.64993,594.2095,412.4513,629.163,N/A,N/A,258.65590000000003,829.7896465362793
11750E0000,"Exc Nail Matrix Perm Rmvl",Facility,727.03,11750,0450,IP,646.32967,636.078547,348.97439999999995,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,654.327,654.327,690.6785,676.1379000000001,Grouper,Grouper,690.6785,690.6785,Grouper,Grouper,654.327,654.327,690.6785,444.21533,508.1939699999999,617.9755,Grouper,654.327,N/A,N/A,348.97439999999995,690.6785
11760E0000,"Rep Nail Bed",Facility,256.9,11760,0450,OP,228.3841,224.76181,95.053,N/A,N/A,N/A,151.36547999999996,162.61769999999999,159.38075999999998,73.22225555829601,231.20999999999998,231.20999999999998,244.05499999999998,238.917,611.6774875081416,699.0599857235903,238.917,244.05499999999998,194.67882,669.9324863184407,231.20999999999998,231.20999999999998,244.05499999999998,156.96589999999998,179.57309999999998,218.36499999999998,151.57099999999997,231.20999999999998,N/A,N/A,73.22225555829601,699.0599857235903
11760E0000,"Rep Nail Bed",Facility,267.19,11760,0450,IP,237.53191,233.764531,128.25119999999998,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,240.471,240.471,253.83049999999997,248.4867,Grouper,Grouper,253.83049999999997,253.83049999999997,Grouper,Grouper,240.471,240.471,253.83049999999997,163.25309,186.76581,227.11149999999998,Grouper,240.471,N/A,N/A,128.25119999999998,253.83049999999997
11982E0000,"Remove Drug Implant Device",Facility,467.23,11982,0450,OP,415.36747,408.77952700000003,172.8751,N/A,N/A,N/A,275.29191599999996,295.75659,289.869492,263.28720438782165,420.507,420.507,443.8685,434.5239,447.46776504972365,511.3917314853984,434.5239,443.8685,354.06689400000005,490.0837426735068,420.507,420.507,443.8685,285.47753,326.59377,397.1455,275.6657,420.507,N/A,N/A,172.8751,511.3917314853984
11982E0000,"Remove Drug Implant Device",Facility,485.91,11982,0450,IP,431.97399,425.12265900000006,233.23680000000002,N/A,N/A,N/A,Grouper,Grouper,Grouper,Grouper,437.319,437.319,461.6145,451.89630000000005,Grouper,Grouper,461.6145,461.6145,Grouper,Grouper,437.319,437.319,461.6145,296.89101,339.65109,413.0235,Grouper,437.319,N/A,N/A,233.23680000000002,461.6145
12001E0000,"Rpr S/N/AX/Gen/Trk </2.5cm",Facility,271.97,12001,0450,OP,241.78133000000003,237.94655300000002,100.62890000000002,N/A,N/A,N/A,160.244724,172.15701,168.730188,N/A,244.77300000000002,244.77300000000002,258.3715,252.93210000000005,215.03867197143245,245.7584822530656,252.93210000000005,258.3715,206.09886600000002,235.5185454925212,244.77300000000002,244.77300000000002,258.3715,166.17367000000002,190.10703,231.17450000000002,160.4623,244.77300000000002,N/A,N/A,100.62890000000002,258.3715
